image_path,split_names,task_families,width,height,aspect_ratio,shorter_side,usage_count
images/10.jpg,multi_train,multi,1128,2995,0.376628,1128,2
images/100.jpg,single_train,single,2500,3917,0.638244,2500,5
images/1000.jpg,single_train,single,2500,4341,0.575904,2500,11
images/1002.jpg,multi_test,multi,2500,3891,0.642508,2500,5
images/1003.jpg,single_train,single,2500,2813,0.888731,2500,8
images/1004.jpg,single_train,single,2250,1969,1.142712,1969,7
images/1008.jpg,multi_train,multi,2500,3718,0.672405,2500,3
images/1009.jpg,"multi_train,single_train","multi,single",2500,3451,0.724428,2500,11
images/1011.jpg,multi_train,multi,2500,2379,1.050862,2379,6
images/1012.jpg,multi_train,multi,3174,5434,0.5841,3174,2
images/1013.jpg,multi_train,multi,2539,4672,0.54345,2539,2
images/1017.jpg,single_train,single,2500,3750,0.666667,2500,7
images/1018.jpg,single_test,single,2500,2961,0.844309,2500,8
images/1023.jpg,multi_train,multi,2500,2937,0.851209,2500,3
images/1026.jpg,single_train,single,2250,2007,1.121076,2007,2
images/1028.jpg,multi_train,multi,2500,3451,0.724428,2500,2
images/1034.jpg,single_train,single,1090,1125,0.968889,1090,9
images/1035.jpg,multi_train,multi,1325,2617,0.506305,1325,3
images/1036.jpg,multi_train,multi,1413,2548,0.554553,1413,4
images/1037.jpg,multi_train,multi,1349,2013,0.670144,1349,4
images/1040.jpg,single_train,single,2914,3419,0.852296,2914,6
images/1050.jpg,"multi_train,single_train","multi,single",2164,3966,0.545638,2164,13
images/1051.jpg,multi_test,multi,2539,3976,0.638581,2539,2
images/1056.jpg,"multi_train,single_train","multi,single",3174,3313,0.958044,3174,10
images/1057.jpg,single_test,single,2500,3623,0.690036,2500,11
images/1058.jpg,"multi_train,single_train","multi,single",2500,2813,0.888731,2500,10
images/106.jpg,multi_train,multi,2500,6208,0.402706,2500,1
images/1060.jpg,multi_test,multi,2500,3750,0.666667,2500,2
images/1063.jpg,"multi_test,single_test","multi,single",2501,2763,0.905176,2501,11
images/1065.jpg,multi_train,multi,2500,3295,0.758725,2500,6
images/1066.jpg,multi_test,multi,2932,3570,0.821289,2932,4
images/1069.jpg,multi_train,multi,2500,3451,0.724428,2500,4
images/1073.jpg,multi_train,multi,3174,3608,0.879712,3174,1
images/1076.jpg,multi_train,multi,2501,3251,0.769302,2501,4
images/1077.jpg,multi_train,multi,2901,4895,0.592646,2901,3
images/1082.jpg,multi_train,multi,2500,3843,0.650533,2500,1
images/1087.jpg,single_train,single,1230,1760,0.698864,1230,8
images/1089.jpg,multi_train,multi,3394,4044,0.839268,3394,2
images/1090.jpg,"multi_train,single_train","multi,single",2257,5806,0.388736,2257,16
