image_path,split_names,task_families,edge_density,entropy,connected_components,usage_count
images/10.jpg,multi_train,multi,0.056327,3.949583,519,2
images/100.jpg,single_train,single,0.018741,5.823236,1033,5
images/1000.jpg,single_train,single,0.027312,2.373193,1619,11
images/1002.jpg,multi_test,multi,0.03968,4.542592,1999,5
images/1003.jpg,single_train,single,0.034257,3.967624,1192,8
images/1004.jpg,single_train,single,0.047756,3.787016,832,7
images/1008.jpg,multi_train,multi,0.020497,2.815961,962,3
images/1009.jpg,"multi_train,single_train","multi,single",0.023561,3.272516,938,11
images/1011.jpg,multi_train,multi,0.031612,3.878324,894,6
images/1012.jpg,multi_train,multi,0.01951,3.460085,1725,2
images/1013.jpg,multi_train,multi,0.036737,4.867068,1434,2
images/1017.jpg,single_train,single,0.045782,5.345918,1466,7
images/1018.jpg,single_test,single,0.038353,4.222641,2363,8
images/1023.jpg,multi_train,multi,0.032224,3.742728,1171,3
images/1026.jpg,single_train,single,0.026458,5.558953,1079,2
images/1028.jpg,multi_train,multi,0.022701,3.128943,966,2
images/1034.jpg,single_train,single,0.060042,1.918821,1088,9
images/1035.jpg,multi_train,multi,0.038302,2.97015,1555,3
images/1036.jpg,multi_train,multi,0.060316,4.653196,1255,4
images/1037.jpg,multi_train,multi,0.070248,5.198355,1055,4
images/1040.jpg,single_train,single,0.020703,5.937043,1292,6
images/1050.jpg,"multi_train,single_train","multi,single",0.07216,6.497553,6000,13
images/1051.jpg,multi_test,multi,0.062351,5.133619,4629,2
images/1056.jpg,"multi_train,single_train","multi,single",0.022989,4.36109,1232,10
images/1057.jpg,single_test,single,0.021679,4.872572,1092,11
images/1058.jpg,"multi_train,single_train","multi,single",0.033482,4.008924,1355,10
images/106.jpg,multi_train,multi,0.022216,5.231723,1469,1
images/1060.jpg,multi_test,multi,0.046361,6.56923,3426,2
images/1063.jpg,"multi_test,single_test","multi,single",0.020758,5.933145,2418,11
images/1065.jpg,multi_train,multi,0.02179,2.761413,765,6
images/1066.jpg,multi_test,multi,0.030824,3.971608,2257,4
images/1069.jpg,multi_train,multi,0.023677,3.173173,2390,4
images/1073.jpg,multi_train,multi,0.040216,3.647048,3954,1
images/1076.jpg,multi_train,multi,0.019244,5.738349,1811,4
images/1077.jpg,multi_train,multi,0.023969,3.926565,1790,3
images/1082.jpg,multi_train,multi,0.043628,4.208573,2181,1
images/1087.jpg,single_train,single,0.034155,3.66291,624,8
images/1089.jpg,multi_train,multi,0.017112,4.314293,4230,2
images/1090.jpg,"multi_train,single_train","multi,single",0.02865,4.865482,2451,16
images/1091.jpg,multi_train,multi,0.033608,3.86119,1858,1
images/1095.jpg,multi_train,multi,0.022944,4.634183,854,4
images/1096.jpg,single_train,single,0.057795,5.02309,713,2
images/1097.jpg,multi_train,multi,0.033313,4.054765,1791,7
images/110.jpg,multi_train,multi,0.015508,6.715267,625,2
images/1103.jpg,multi_train,multi,0.02198,2.993147,673,4
images/1105.jpg,multi_train,multi,0.048018,5.026112,956,11
images/1107.jpg,multi_train,multi,0.024733,3.449022,2152,5
images/1108.jpg,multi_train,multi,0.032281,3.972937,960,2
